SKU,MEL,SYD,PER,JET
SC-PEG-WS-3,,,14,
SC-PEG-GS-3,,,,
RL075WS-CRNR-BLK,,,,
FHL-BS-BLK,,,,
FHL-UCSE-WS400-BLK,,,,
FHL-UCSE-WS560-BLK,,,,
FHL-UCSI-400-BLK,,,,
FHL-UCSI-560-BLK,,,,
FL075WS-Unipallet,,,2,
FL075GS-Unipallet,,,,
FHL400JS-WS-BLK,,,,
FHL400WS-1000-BLK,,,,
FHL400WS-1200-BLK,,,,
FHL400WS-2000-BLK,,,,
FHL400WS-400-BLK,,,,
FHL400WS-600-BLK,,,,
ANCHOR-SET-FL-PRTS-BLK,,,,
BS-UNI-ST-BLK,,,8,
DB8-2PCK-BLK,,,,
FHL400WS-800-BLK,,,,
FHL560JS-WS-BLK,,,,
FHL560WS-1000-BLK,,,,
FHL560WS-1200-BLK,,,,
FHL560WS-2000-BLK,,,,
FHL560WS-400-BLK,,,,
FHL560WS-800-BLK,,,,
FHL560WS-600-BLK,,,,
FL100GS-CRNR-BLK,,,,
FL100GS-Unipallet,,,,
FL100WS-Unipallet,,,,
FL100HSB-BLK,,,,
FL100WS-CRNR-BLK,,,,
FL150HSB-BLK,,,,
FL150GS-Unipallet,,,,
FL150WS-Unipallet,3,,,
FL150WS-CRNR-BLK,,,,
FL185GS-Unipallet,,,,
FL185WS-Unipallet,,,,
FL240WS-Unipallet,,,,
FL240GS-Unipallet,,,,
FL240GS-CRNR-SET-BLK,,,,
FL240GS-SLV-BLK,,,,
FL240WS-CRNR-SET-BLK,,,,
FL240WS-SLV-BLK,,,,
FL400WS-Unipallet,,,,
FL400GS-Unipallet,,,,
FL400GS-CRNR-SET-BLK,,,,
FL400GS-SLV-BLK,,,,
FL400WS-CRNR-SET-BLK,,,,
FL400WS-SLV-BLK,,,,
FL560WS-Unipallet,,,,
FL560GS-Unipallet,,,,
FL560GS-CRNR-SET-BLK,,,,
FL560GS-SLV-BLK,,,,
FL560WS-CRNR-SET-BLK,,,,
HL100WS-Unipallet,,,,
HL100GS-Unipallet,,,,
HL100WS-CRNR-BLK,,,,
FL560WS-SLV-BLK,,,,
HL150WS-Unipallet,,,,
HL150GS-Unipallet,,,,
HL150WS-CRNR-BLK,,,,
PEG-GS-HD-BLK,,,,
PEG-WS-HD-BLK,,,,
POST-1100-BLK,,,,
POST-470-BLK,,,,
RIB240MS-BLK,,,,
RIB400GS-BLK,,,,
RIB400MS-BLK,,,,
RIB560FHL-BLK,,,,
RIB560GS-BLK,,,,
RIB560MS-BLK,,,,
RL075WS-Unipallet,,,,
RL075GS-Unipallet,,,,
RL100WS-Unipallet,,,,
RL100GS-Unipallet,,,,
RL150WS-Unipallet,,,,
RL150GS-Unipallet,,,,
RL185GS-Unipallet,,,,
RL185WS-Unipallet,,,,
RL240WS-Unipallet,,,,
RL240GS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL560WS-Unipallet,,,,
RL560GS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
SPIKE-BOX,,,,
SPIKE-BOX-BLK,,,1,
SC-PEG-GS-BLK,,,,
TSCZ12G-B20-BLK,,,,
TSCZ12G-B250-BLK,,,,
TSCZ12G-B50-BLK,,,,
TSDM12G-B20-BLK,,,,
TSDM12G-B50-BLK,,,,
TSDM12G-B250-BLK,,,,
TSDM12G-B50,,100,99,100
SC-PEG-GS,609,2319,1026,819
FL100GS,,19,270,
SPIKE,8589,27073,10480,30070
POST-1100,319,818,38,202
FL560WS-CRNR-SET,12,25,17,37
FL560WS,68,57,16,30
FL100WS,544,680,280,879
SC-PEG-WS,3171,12918,-600,9593
FL240WS,199,45,-123,275
FL075GS,70,10,56,
RIB240MS,40,40,,100
BS-UNI-ST,730,3055,180,573
HL150WS,160,150,270,20
POST-470,392,2570,454,1181
FL240WS-CRNR-SET,,,10,16
RL240WS,,386,20,253
FL150WS,208,1984,,1164
RL400WS,34,92,80,54
TSCZ12G-B250,17,77,100,61
TSCZ12G-B50,252,324,266,194
RL150WS,43,1003,-300,556
RL560WS,-6,44,30,30
RL100WS,,880,-210,548
RL150GS,94,169,-50,71
RL075WS,17,,,
RL100GS,49,262,,70
FL400WS,12,189,,40
FL560GS,,40,10,10
HL100WS,88,339,20,47
HL150WS-CRNR,22,25,20,20
FL240GS,29,20,12,30
FHL560WS-800,30,22,16,10
FL075WS,40,420,,79
FL150WS-CRNR,31,74,26,68
FL150GS,80,234,-8,27
FHL400WS-800,,69,,10
FHL400WS-600,,22,10,10
FHL400WS-400,,30,12,10
FHL400WS-2000,6,6,,4
FHL400WS-1200,20,42,-2,20
FHL560WS-400,34,20,10,10
FHL560WS-2000,,14,22,10
FHL560WS-1200,,61,,20
FHL560WS-1000,,37,,10
FHL560JS-WS,,65,40,40
FHL400WS-1000,10,14,-2,20
FHL-UCSE-WS400,,36,19,20
FHL400JS-WS,,39,26,40
FHL-UCSI-560,60,85,100,100
FHL-UCSI-400,,66,83,100
FHL-UCSE-WS560,,40,20,20
FHL-BS,20,30,30,40
POST-1100-Unipallet,,,,
POST-470-Unipallet,,,,
BS-UNI-ST-Unipallet,,,,
TSCZ12G-B20,,395,,397
FL240GS-CRNR-SET,3,5,10,15
PEG-GS-HD,,50,,260
PEG-WS-HD,,50,,260
FL400WS-CRNR-SET,1,15,10,40
HL150GS,2,14,18,20
FL240WS-SLV,,,5,20
FL100WS-CRNR,57,95,140,19
SC-PEG-WS-Unipallet,,,,
RL075GS,66,140,-86,
TSDM12G-B20,95,196,100,100
TSDM12G-B250,17,33,18,36
RIB560MS,,40,,
RIB400MS,20,40,,
FL400GS-CRNR-SET,,10,,15
FL400GS-SLV,,10,,10
FL400WS-SLV,,19,9,20
FL560GS-SLV,,10,,10
FL560GS-CRNR-SET,5,15,,15
FL560WS-SLV,8,20,9,20
DB8-2PCK,,80,,100
FHL560WS-600,,17,20,10
ANCHOR-SET-FL-PRTS,220,100,160,60
FL240GS-SLV,,10,,10
FL400GS,7,10,,20
HL100WS-CRNR,20,8,40,36
RIB560GS,,,,40
RL400GS,,10,20,20
RL240GS,,10,20,30
RIB400GS,,,,40
RL560GS,10,10,,10
RL075WS-CRNR,54,56,60,55
FL100GS-CRNR,14,,20,10
FL075GS-SMPL,,,,
FL100HSB,30,10,30,10
FL150GS-SMPL,,,,
FL150HSB,30,,30,10
HL100GS,20,,22,20
RIB560FHL,10,10,20,100
DISPLAY-FULL-AU,,,,
HL150GS-CRNR,5,1,20,5
HL150GS-CRNR-BLK,,,,
HL100GS-CRNR,5,5,5,5
HL100GS-CRNR-BLK,,,,
RIB400FHL,10,10,20,100
RIB400FHL-BLK,,,,
RL075GS-CRNR,10,10,20,10
RL075GS-CRNR-BLK,,,,
FL240HSB,,80,,
FL240HSB-BLK,,,,
FL150GS-CRNR,3,7,30,10
FL150GS-CRNR-BLK,,,,
